GRAMMAR,JAPANESE ,JLPT LEVEL
aida,間（あいだ）,N4
aida ni,間に（あいだに）,N4
amari~nai,あまり～ない,N4
ato de,後で（あとで）,N4
ba,ば,N4
baai wa,場合は（ばあいは）,N4
bakari,ばかり,N4
dake de,だけで,N4
dasu,出す（だす）,N4
de gozaimasu,でございます,N4
demo,でも,N4
dewa nai ka,ではないか,N4
ga hitsuyou,が必要（がひつよう）,N4
ga suru,がする,N4
gari,がり,N4
garu / gatteiru,がる / がっている,N4
gozaimasu,ございます,N4
hajimeru,始める（はじめる）,N4
hazu da,はずだ,N4
hazu ga nai,はずがない,N4
hitsuyou ga aru,必要がある（ひつようがある）,N4
ikou kei - volitional form,意向形 （いこうけい）,N4
irassharu,いらっしゃる,N4
itashimasu,いたします,N4
janai ka,じゃないか,N4
ka dou ka,かどうか,N4
ka shira,かしら,N4
kai,かい,N4
kamo shirenai,かもしれない,N4
kana,かな,N4
kara tsukuru,から作る（からつくる）,N4
kitto,きっと,N4
koro / goro,頃（ころ / ごろ）,N4
koto,こと,N4
koto ga aru,ことがある,N4
koto ga dekiru,ことができる,N4
koto ni naru,ことになる,N4
koto ni suru,ことにする,N4
ku suru,くする,N4
kyuu ni,急に（きゅうに）,N4
made ni,までに,N4
mama,まま,N4
matawa,または,N4
mitai da,みたいだ,N4
mitai na,みたいな,N4
mitai ni,みたいに,N4
mo,も,N4
na,な,N4
nado,など,N4
nagara,ながら,N4
nakanaka~nai,なかなか～ない,N4
nakereba ikenai,なければいけない,N4
nakereba naranai,なければならない,N4
nara,なら,N4
nasai,なさい,N4
nasaru,なさる,N4
ni ki ga tsuku,に気がつく（にきがつく）,N4
ni mieru,に見える（にみえる）,N4
ni suru,にする,N4
nikui,にくい,N4
no naka de,の中で（のなかで）,N4
noni,のに,N4
noni,のに,N4
nowa~da,のは〜だ,N4
o~kudasai,お～ください,N4
o~ni naru,お～になる,N4
oki ni,おきに,N4
owaru,終わる（おわる）,N4
rareru,られる,N4
rashii,らしい,N4
sa,さ,N4
sakki,さっき,N4
saserareru,させられる,N4
saseru,させる,N4
sasete kudasai,させてください,N4
sasuga,さすが,N4
shi,し,N4
sonna ni,そんなに,N4
sore demo,それでも,N4
sore ni,それに,N4
sou da [1],そうだ,N4
sou da [2],そうだ,N4
sou ni / sou na,そうに / そうな,N4
