祖母,そぼ,grandmother,,N4
虫,むし,insect,,N4
裏,うら,reverse side,,N4
交通,こうつう,"traffic,transportation",,N4
文化,ぶんか,culture,,N4
伝える,つたえる,to report,,N4
最初,さいしょ,"beginning,first",,N4
取り替える,とりかえる,to exchange,,N4
鏡,かがみ,mirror,,N4
盗む,ぬすむ,to steal,,N4
真ん中,まんなか,middle,,N4
直す,なおす,"to fix,to repair",,N4
けれども,けれども,however,,N4
看護婦,かんごふ,female nurse,,N4
一度,いちど,once,,N4
悲しい,かなしい,sad,,N4
事務所,じむしょ,office,,N4
金持ち,かねもち,rich man,,N4
住所,じゅうしょ,"an address,a residence",,N4
踏む,ふむ,to step on,,N4
無くなる,なくなる,"to disappear,to get lost",,N4
島,しま,island,,N4
雲,くも,cloud,,N4
倒れる,たおれる,to break down,,N4
会話,かいわ,conversation,,N4
なさる,なさる,(respectful) to do,,N4
彼女,かのじょ,"she,girlfriend",,N4
飾る,かざる,to decorate,,N4
上る,あがる,to rise,,N4
絹,きぬ,silk,,N4
合う,あう,to match,,N4
引き出し,ひきだし,"drawer,drawing out",,N4
続く,つづく,to be continued,,N4
見つかる,みつかる,to be discovered,,N4
ベル,ベル,bell,,N4
道具,どうぐ,"tool,means",,N4
以内,いない,within,,N4
普通,ふつう,"usually, or a train that stops at every station",,N4
けれど,けれど,however,,N4
泣く,なく,to weep,,N4
もし,もし,if,,N4
コンピューター,コンピューター,computer,,N4
変える,かえる,to change,,N4
寝坊,ねぼう,sleeping in late,,N4
輸入,ゆにゅう,to import,,N4
そう,そう,really,,N4
呉れる,くれる,to give,,N4
格好,かっこう,appearance,,N4
適当,てきとう,suitability,,N4
引っ越す,ひっこす,to move house,,N4
招待,しょうたい,to invite,,N4
硬い,かたい,hard,,N4
パソコン,パソコン,personal computer,,N4
電灯,でんとう,electric light,,N4
くださる,くださる,(respectful) to give,,N4
汚れる,よごれる,to get dirty,,N4
承知,しょうち,to consent,,N4
パート,パート,part time,,N4
都,と,metropolitan,,N4
もらう,もらう,to receive,,N4
用事,ようじ,things to do,,N4
固い,かたい,hard,,N4
すばらしい,すばらしい,wonderful,,N4
場所,ばしょ,location,,N4
代わり,かわり,"substitute,alternate",,N4
